gameUuid,uuid,modificationDate,metaData,bggCollId,statusOwned,statusWishlist,statusWantToPlay,statusWantInTrade,statusForTrade,statusPrevOwned,statusPreordered,statusWantToBuy,wishlistStatus,versionName,bggVersionId,gameName,year,urlImage,urlThumb,bggUserName
645461be-32f3-4632-ab3c-d44e5415790f,d12e3494-0776-41e4-947e-c162726c384f,2021-10-03 14:00:40,"{""VersionPublishers"":""Schmidt Spiele"",""VersionLanguages"":""Danish, Dutch, English, French, German, Hungarian, Italian, (neutral), Spanish"",""VersionEmptiedInApp"":0,""Rating"":""6"",""PricePaid"":"""",""PricePaidCurrency"":"""",""PublicComment"":"""",""PrivateComment"":"""",""WishlistComment"":"""",""CurrentPrice"":"""",""CurrentPriceCurrency"":"""",""Barcode"":"""",""AcquiredFrom"":"""",""AcquisitionDate"":"""",""InventoryDate"":"""",""InventoryLocation"":"""",""Quantity"":"""",""HaveParts"":"""",""WantParts"":"""",""TradeCondition"":""""}",73063304,true,false,false,false,false,false,false,false,3,German edition,34819,Europa Tour,2003,https://cf.geekdo-images.com/bbkWZsA5cjN7lP5SIfAeSA__thumb/img/tmgcGp7Bu2ClEcx9lNtDrMA3mpo=/fit-in/200x150/filters:strip_icc()/pic1249794.jpg,https://cf.geekdo-images.com/bbkWZsA5cjN7lP5SIfAeSA__thumb/img/tmgcGp7Bu2ClEcx9lNtDrMA3mpo=/fit-in/200x150/filters:strip_icc()/pic1249794.jpg,Deniedpluto
e68dbd4b-a48e-4613-a23d-eab9674c2b57,,,,,,,,,,,,,,,,,,,,
c44f4f36-caa8-4aec-880c-e5871978e01b,d06ba97e-ba60-4518-97d3-233d29eed2b0,2021-10-03 14:00:38,"{""Rating"":""10"",""AcquisitionDate"":""2014-07-06"",""VersionPublishers"":""Repos Production"",""VersionLanguages"":""English"",""VersionEmptiedInApp"":0,""PricePaid"":"""",""PricePaidCurrency"":"""",""PublicComment"":"""",""PrivateComment"":"""",""WishlistComment"":"""",""CurrentPrice"":"""",""CurrentPriceCurrency"":"""",""Barcode"":"""",""AcquiredFrom"":"""",""InventoryDate"":"""",""InventoryLocation"":"""",""Quantity"":"""",""HaveParts"":"""",""WantParts"":"""",""TradeCondition"":""""}",39563512,true,false,false,false,false,false,false,false,3,Repos English R16 edition 2014,478037,7 Wonders,2014,https://cf.geekdo-images.com/original/img/ksK5RgW6rUS2-ArOVE_exdhfO7s=/0x0/pic4615104.jpg,https://cf.geekdo-images.com/previewthumb/img/6WA4aZcWkCSxRY1lNp5WCeKU0Y0=/fit-in/300x320/pic4615104.jpg,Deniedpluto
4894a63f-19d4-4b85-814b-722983b46086,6919691d-d3be-43dd-ad8f-806c7055ca55,2023-01-02 20:15:23,"{""Rating"":""9"",""PricePaid"":"""",""PricePaidCurrency"":"""",""PublicComment"":"""",""PrivateComment"":"""",""WishlistComment"":"""",""CurrentPrice"":"""",""CurrentPriceCurrency"":"""",""Barcode"":"""",""AcquiredFrom"":"""",""AcquisitionDate"":"""",""InventoryDate"":"""",""InventoryLocation"":"""",""Quantity"":"""",""HaveParts"":"""",""WantParts"":"""",""TradeCondition"":""""}",39563520,false,false,false,false,false,false,false,false,0,,,,0,,,Deniedpluto
4894a63f-19d4-4b85-814b-722983b46086,cf7f32c0-38d8-42fd-8aef-eb279b61e19b,2023-01-02 20:15:23,"{""Rating"":""8"",""PricePaid"":"""",""PricePaidCurrency"":"""",""PublicComment"":"""",""PrivateComment"":"""",""WishlistComment"":"""",""CurrentPrice"":"""",""CurrentPriceCurrency"":"""",""Barcode"":"""",""AcquiredFrom"":"""",""AcquisitionDate"":"""",""InventoryDate"":"""",""InventoryLocation"":"""",""Quantity"":"""",""HaveParts"":"""",""WantParts"":"""",""TradeCondition"":""""}",77151467,false,false,false,false,false,false,false,false,3,,,,0,,,Deniedpluto
4894a63f-19d4-4b85-814b-722983b46086,078c85df-b9df-4165-bb8e-f20d35000f69,2020-12-13 09:57:09,"{""Rating"":""8"",""PricePaid"":"""",""PricePaidCurrency"":"""",""PublicComment"":"""",""PrivateComment"":"""",""WishlistComment"":"""",""CurrentPrice"":"""",""CurrentPriceCurrency"":"""",""Barcode"":"""",""AcquiredFrom"":"""",""AcquisitionDate"":"""",""InventoryDate"":"""",""InventoryLocation"":"""",""Quantity"":"""",""HaveParts"":"""",""WantParts"":"""",""TradeCondition"":""""}",77151550,true,false,false,false,false,false,false,false,3,,,,0,,,Deniedpluto
8A33ADF0-A5FB-4FCA-BAE7-E0AC4387E41E,008df7d4-1fed-4f34-807d-5f89070130bb,2023-01-02 20:15:23,,,true,false,false,false,false,false,false,false,0,,,,0,,,
9782f301-1c63-488f-bdb8-609a23ac2859,7e8c677b-8ec9-45f3-b5f7-bf941113126e,2021-12-25 19:40:40,"{""VersionPublishers"":""Repos Production"",""VersionLanguages"":""English"",""PricePaid"":""35"",""PricePaidCurrency"":""USD"",""AcquiredFrom"":""Board Game Paradise"",""AcquisitionDate"":""2021-11-26"",""PrivateComment"":"""",""FieldsAllowedToPost"":[""AcquiredFrom"",""copyVersionId"",""AcquisitionDate"",""PrivateComment"",""PricePaidCurrency"",""PricePaid""],""VersionEmptiedInApp"":0}",0,true,false,false,false,false,false,false,false,0,English edition,578453,7 Wonders: Architects,2021,https://cf.geekdo-images.com/T5nRnFlmfthJFY7fdHmF-g__original/img/HjJ3MmUFw4vlxgHTW1R_Mq0HPiY=/0x0/filters:format(png)/pic6467297.png,https://cf.geekdo-images.com/T5nRnFlmfthJFY7fdHmF-g__previewthumb/img/C-ghUaNBcrpOneNv1Iov7qBYJL0=/fit-in/300x320/filters:strip_icc()/pic6467297.png,
d3adeaa9-eb28-4467-9437-87ed12276fdd,,,,,,,,,,,,,,,,,,,,
a7dedb56-cd4c-4af6-85a5-4e0992e7ad1a,09a30fd2-a836-4cea-a3de-3e4d77c1677f,2021-02-05 16:01:17,"{""PricePaid"":"""",""PricePaidCurrency"":"""",""PublicComment"":"""",""PrivateComment"":"""",""WishlistComment"":"""",""CurrentPrice"":"""",""CurrentPriceCurrency"":"""",""Barcode"":"""",""AcquiredFrom"":"""",""AcquisitionDate"":"""",""InventoryDate"":"""",""InventoryLocation"":"""",""Quantity"":"""",""HaveParts"":"""",""WantParts"":"""",""Rating"":"""",""TradeCondition"":""""}",63790821,false,false,false,false,false,true,false,false,0,,,,0,,,Deniedpluto
