uuid,id,name,modificationDate,cooperative,highestWins,noPoints,usesTeams,urlThumb,urlImage,bggName,bggYear,bggId,designers,isBaseGame,isExpansion,rating,minPlayerCount,maxPlayerCount,minPlayTime,maxPlayTime,minAge,preferredImage,previouslyPlayedAmount
645461be-32f3-4632-ab3c-d44e5415790f,82,10 Days in Europe,2021-10-03 14:00:40,false,false,true,false,https://cf.geekdo-images.com/thumb/img/i5n0reQ1WzQHopvVGAm0GvaOny4=/fit-in/200x150/pic4895073.png,https://cf.geekdo-images.com/original/img/JJ6hN2UlO9n_pQPi4zXdQ6ceG-w=/0x0/pic4895073.png,10 Days in Europe,2002,5867,"Alan R. Moon, Aaron Weissblum",1,0,0,2,4,20,30,10,0,0
e68dbd4b-a48e-4613-a23d-eab9674c2b57,87,5 Second Rule,2020-07-27 11:49:11,false,true,false,false,https://cf.geekdo-images.com/thumb/img/VJLcEuHfndfWPKE9t6qoXjSyqXw=/fit-in/200x150/pic4993497.jpg,https://cf.geekdo-images.com/original/img/5OyVTbsoPr9JWies5xDOqVtWKl8=/0x0/pic4993497.jpg,5 Second Rule,2010,86073,Michael Sistrunk,1,1,0,3,6,30,30,10,0,0
c44f4f36-caa8-4aec-880c-e5871978e01b,3,7 Wonders,2021-10-03 14:00:39,false,true,false,false,https://cf.geekdo-images.com/thumb/img/Grz-qM9xwxlvQGK7B-MiljtO9pQ=/fit-in/200x150/pic860217.jpg,https://cf.geekdo-images.com/original/img/3DP_RW5lTX0WrV67s8qi8CsiXoQ=/0x0/pic860217.jpg,7 Wonders,2010,68448,Antoine Bauza,1,0,0,2,7,30,30,10,0,0
4894a63f-19d4-4b85-814b-722983b46086,4,7 Wonders Duel,2023-01-02 20:15:23,false,true,false,false,https://cf.geekdo-images.com/thumb/img/cwWMq5feF7O4O82HJOK3WE5IZ6o=/fit-in/200x150/pic3376065.jpg,https://cf.geekdo-images.com/original/img/M6wL1YFgW-PsdtJ328m2QiJf1K8=/0x0/pic3376065.jpg,7 Wonders Duel,2015,173346,"Antoine Bauza, Bruno Cathala",1,0,0,2,2,30,30,10,0,0
8A33ADF0-A5FB-4FCA-BAE7-E0AC4387E41E,107,7 Wonders Duel,2020-12-13 09:57:09,false,true,false,false,https://cf.geekdo-images.com/thumb/img/qGf8-LJx4lsNOgpjS6iCs2TyKts=/fit-in/200x150/filters:strip_icc()/pic3376065.jpg,https://cf.geekdo-images.com/original/img/M6wL1YFgW-PsdtJ328m2QiJf1K8=/0x0/pic3376065.jpg,7 Wonders Duel,2015,173346,"Antoine Bauza, Bruno Cathala",1,0,0,2,2,30,30,10,0,0
9782f301-1c63-488f-bdb8-609a23ac2859,128,7 Wonders: Architects,2023-06-17 17:55:20,false,true,false,false,https://cf.geekdo-images.com/T5nRnFlmfthJFY7fdHmF-g__thumb/img/31j3i1izBvG-xkGXUobznFutMNI=/fit-in/200x150/filters:strip_icc()/pic6467297.png,https://cf.geekdo-images.com/T5nRnFlmfthJFY7fdHmF-g__original/img/HjJ3MmUFw4vlxgHTW1R_Mq0HPiY=/0x0/filters:format(png)/pic6467297.png,7 Wonders: Architects,2021,346703,Antoine Bauza,1,0,0,2,7,25,25,8,0,0
d3adeaa9-eb28-4467-9437-87ed12276fdd,148,Anomia,2023-01-02 20:01:40,false,true,false,false,https://cf.geekdo-images.com/OvOpd-Lhl7t3h9fF_qi6lQ__thumb/img/002NO49Pl3-9dPUj43StWt0SS2c=/fit-in/200x150/filters:strip_icc()/pic2527529.jpg,https://cf.geekdo-images.com/OvOpd-Lhl7t3h9fF_qi6lQ__original/img/0_8ukg1eYy8HxXTAwPgKptJXTeU=/0x0/filters:format(jpeg)/pic2527529.jpg,Anomia,2010,67877,Andrew Innes,1,1,0,3,6,30,30,10,0,0
a7dedb56-cd4c-4af6-85a5-4e0992e7ad1a,5,Anti-Monopoly,2021-03-07 09:46:19,false,true,false,false,https://cf.geekdo-images.com/thumb/img/x0JtbpPZi2QDk7ZESOKyKeqnrgc=/fit-in/200x150/pic2624584.jpg,https://cf.geekdo-images.com/original/img/StS2YhNpodMoFY8D_ERpfZOnkjk=/0x0/pic2624584.jpg,Anti-Monopoly,1973,1931,Ralph Anspach,1,0,0,2,6,120,120,8,0,0
046fd681-0466-4648-8203-3d6623d3dbe4,85,Azul,2021-10-03 14:00:27,false,true,false,false,https://cf.geekdo-images.com/thumb/img/_ed_JktpgFwTr2WjEQgYMzHBvOQ=/fit-in/200x150/pic3718275.jpg,https://cf.geekdo-images.com/original/img/9-SR48jyfxs4At6255sjHoly2sw=/0x0/pic3718275.jpg,Azul,2017,230802,Michael Kiesling,1,0,0,2,4,30,45,8,0,0
205bbf34-d171-4562-b0c0-8d6e66626bf9,71,Balderdash,2020-07-27 11:49:11,false,true,true,false,https://cf.geekdo-images.com/thumb/img/c6ofMooAX4QE9Xesd8lfVNKVyfY=/fit-in/200x150/pic40574.jpg,https://cf.geekdo-images.com/original/img/MF5BpX_Vpx21a8xBaCOo4OuKwq8=/0x0/pic40574.jpg,Balderdash,1984,163,"Laura Robinson, Paul Toyne",1,0,0,2,6,60,60,12,0,0
64c3934a-6ba6-4e51-8f6b-9226b12127a2,64,BANG!,2020-07-27 11:49:11,false,true,true,false,https://cf.geekdo-images.com/thumb/img/lzPoB0cL20ysgtE5Lc5C6oslpoM=/fit-in/200x150/pic1170986.jpg,https://cf.geekdo-images.com/original/img/ZgLAhswnvphPH_FplkciAQ-J9ic=/0x0/pic1170986.jpg,BANG!,2002,3955,Emiliano Sciarra,1,0,0,4,7,20,40,10,0,0
20d652cc-cf32-4561-a1e9-ee29f00fa8cd,6,BANG! The Dice Game,2021-10-03 14:00:43,false,true,true,false,https://cf.geekdo-images.com/thumb/img/3xvZe7fHZdreM0Zt_eINI0F2V-A=/fit-in/200x150/pic2909713.jpg,https://cf.geekdo-images.com/original/img/FV0kpzyWF-7AQCFI8TuQlRRIhNo=/0x0/pic2909713.jpg,BANG! The Dice Game,2013,143741,"Michael Palm, Lukas Zach",1,0,0,3,8,15,15,8,0,0
b8794b1f-7802-47dc-9007-6984aff751b7,157,Bank Heist,2024-03-08 20:47:09,false,true,true,false,https://cf.geekdo-images.com/sfn5gg37nU93pSCSwYpWxQ__thumb/img/6Bd9AjPTlMzexpxTFm0ArMPLlio=/fit-in/200x150/filters:strip_icc()/pic4968630.png,https://cf.geekdo-images.com/sfn5gg37nU93pSCSwYpWxQ__original/img/5wAGrlrtIEgEFJt5wHL9gOG3hac=/0x0/filters:format(png)/pic4968630.png,Bank Heist,2020,289784,"",1,0,74,5,8,30,60,13,0,0
2c4e5b57-7d55-4358-93f9-4d874c7c5323,136,Batman: Gotham City Chronicles,2024-07-05 11:20:38,true,true,true,false,https://cf.geekdo-images.com/YGNk9UF-QqLWT58aWiRV7w__thumb/img/OJRkVH8OmPyCtrpExfCW63phnkE=/fit-in/200x150/filters:strip_icc()/pic3893551.png,https://cf.geekdo-images.com/YGNk9UF-QqLWT58aWiRV7w__original/img/KdB7vv0-cUujU4-eE3udGR1xYKA=/0x0/filters:format(png)/pic3893551.png,Batman: Gotham City Chronicles,2019,222514,Frédéric Henry,1,0,0,2,4,60,90,14,0,0
