uuid,id,name,type,isInternal,isDefault,modificationDate,metaData
14f7b784-3c43-47dc-9bdc-fc9d30c7d1c8,1,All Games,Basis,true,true,2020-07-27 11:25:17,
08ab6eda-8199-4471-9aae-719f515ad71f,13,Custom Filter…,Basis,true,true,2020-07-27 11:25:17,"{""filter"":""{\""gameType\"":0,\""collectionRules\"":[],\""tagRules\"":[],\""playRules\"":[]}""}"
68e7ffbd-410b-4c12-b988-26407eb23890,15,Expansion Base plays,GameFilter,false,true,2021-10-12 19:43:04,"{""ordering"":5,""filter"":{""gameType"":3,""collectionRules"":[],""tagRules"":[],""playRules"":[{""ruleType"":0,""countPlays"":0,""withPlayerAnd"":0,""withPlayerExact"":0,""excludeExpansionPlays"":1,""withPlayerUuids"":[]}]}}"
83e43100-2c68-4511-8f45-465f5c985503,8,For Trade,Collection,true,true,2020-07-27 11:25:17,"{""ordering"":7,""filter"":""{\""gameType\"":0,\""collectionRules\"":[{\""negation\"":0,\""noStatus\"":0,\""statusOwned\"":0,\""statusWishlist\"":0,\""statusWantToPlay\"":0,\""statusWantToBuy\"":0,\""statusPreordered\"":0,\""statusWantInTrade\"":0,\""statusForTrade\"":1,\""statusPreviouslyOwned\"":0,\""selectedWishlistStatuses\"":[]}],\""tagRules\"":[],\""playRules\"":[]}""}"
fb0012fa-f091-4b4c-9058-682adfa30d3b,14,My Original Games,GameFilter,false,false,2020-07-27 11:48:47,"{""filter"":""{\""gameType\"":0,\""collectionRules\"":[],\""tagRules\"":[{\""positiveTags\"":[{\""tagName\"":\""My games\"",\""tagType\"":\""Personal\"",\""tagGroup\"":\""Default\""}],\""negativeTags\"":[]}],\""playRules\"":[]}""}"
1f942fb4-b971-4887-ad22-702fc8ff48ba,2,Owned Games,Collection,true,true,2020-07-27 11:25:17,"{""ordering"":1,""filter"":""{\""gameType\"":0,\""collectionRules\"":[{\""negation\"":0,\""noStatus\"":0,\""statusOwned\"":1,\""statusWishlist\"":0,\""statusWantToPlay\"":0,\""statusWantToBuy\"":0,\""statusPreordered\"":0,\""statusWantInTrade\"":0,\""statusForTrade\"":0,\""statusPreviouslyOwned\"":0,\""selectedWishlistStatuses\"":[]}],\""tagRules\"":[],\""playRules\"":[]}""}"
92d8cad3-0cb3-4d6d-b4d7-b2189aafd894,10,Played Games,GameFilter,false,true,2020-07-27 11:25:17,"{""filter"":""{\""gameType\"":0,\""collectionRules\"":[],\""tagRules\"":[],\""playRules\"":[{\""ruleType\"":0,\""countPlays\"":0,\""withPlayerAnd\"":0,\""withPlayerExact\"":0,\""withPlayerUuids\"":[]}]}""}"
ca3b1e3e-c4b4-4f4d-a5ed-dc0ca6b180e4,12,"Played, not Owned",GameFilter,false,true,2020-07-27 11:25:17,"{""filter"":""{\""gameType\"":0,\""collectionRules\"":[{\""negation\"":1,\""noStatus\"":0,\""statusOwned\"":1,\""statusWishlist\"":0,\""statusWantToPlay\"":0,\""statusWantToBuy\"":0,\""statusPreordered\"":0,\""statusWantInTrade\"":0,\""statusForTrade\"":0,\""statusPreviouslyOwned\"":0,\""selectedWishlistStatuses\"":[]}],\""tagRules\"":[],\""playRules\"":[{\""ruleType\"":0,\""countPlays\"":0,\""withPlayerAnd\"":0,\""withPlayerExact\"":0,\""withPlayerUuids\"":[]}]}""}"
16d4b98c-a71a-47ca-afdc-0bdad34a90a0,6,Preordered,Collection,true,true,2020-07-27 11:25:17,"{""ordering"":5,""filter"":""{\""gameType\"":0,\""collectionRules\"":[{\""negation\"":0,\""noStatus\"":0,\""statusOwned\"":0,\""statusWishlist\"":0,\""statusWantToPlay\"":0,\""statusWantToBuy\"":0,\""statusPreordered\"":1,\""statusWantInTrade\"":0,\""statusForTrade\"":0,\""statusPreviouslyOwned\"":0,\""selectedWishlistStatuses\"":[]}],\""tagRules\"":[],\""playRules\"":[]}""}"
401eedbd-4ca6-4419-8434-f154360e9403,9,Previously Owned,Collection,true,true,2020-07-27 11:25:17,"{""ordering"":8,""filter"":""{\""gameType\"":0,\""collectionRules\"":[{\""negation\"":0,\""noStatus\"":0,\""statusOwned\"":0,\""statusWishlist\"":0,\""statusWantToPlay\"":0,\""statusWantToBuy\"":0,\""statusPreordered\"":0,\""statusWantInTrade\"":0,\""statusForTrade\"":0,\""statusPreviouslyOwned\"":1,\""selectedWishlistStatuses\"":[]}],\""tagRules\"":[],\""playRules\"":[]}""}"
